RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
75,4066,4969.91,1884.73,-128.408,1184.500144845063,1184.5
100,2416,4984.95,2573.72,-118.238,1184.900141226456,1184.9
75,4066,4938.41,1885.82,-127.668,1185.30014487831,1185.3
75,4066,4935.77,1885.91,-126.813,1185.400144882082,1185.4
75,4066,4933.12,1886.01,-126.042,1185.500144885991,1185.5
75,4066,4930.47,1886.1,-125.341,1185.60014489004,1185.6
75,4066,4927.84,1886.19,-124.705,1185.700144894202,1185.7
85,748,6908.34,2345.9,-85.7783,1189.554213216473,1189.5
85,748,6908.96,2346.04,-85.7881,1189.654239216979,1189.6
85,748,6909.6,2346.18,-85.7982,1189.754200217506,1189.7
85,748,6910.26,2346.33,-85.8087,1189.854226218057,1189.8
85,748,6920.17,2338.12,-86.1584,1189.954213192389,1189.9
85,748,6920.12,2337.56,-86.1849,1190.054200190537,1190.0
85,748,6920.07,2336.99,-86.1752,1190.154226188654,1190.1
85,748,6920.02,2336.42,-86.1167,1190.254239186737,1190.2
85,748,6919.97,2335.82,-86.0237,1190.354239184766,1190.3
85,748,6919.92,2335.22,-85.9707,1190.454239182764,1190.4
85,748,6919.86,2334.6,-84.9146,1190.554213180714,1190.5
85,748,6919.81,2333.97,-84.8984,1190.654226178628,1190.6
85,748,6919.75,2333.33,-84.8819,1190.754200176493,1190.7
85,748,6919.69,2332.67,-84.865,1190.854213174318,1190.8
85,748,6919.63,2332.0,-84.8478,1190.954239172096,1190.9
85,748,6919.57,2331.32,-84.8301,1191.054213169825,1191.0
85,748,6919.51,2330.62,-84.812,1191.154200167511,1191.1
85,748,6919.45,2329.91,-84.7937,1191.254213165165,1191.2
85,748,6919.38,2329.19,-84.7749,1191.354213162767,1191.3
85,748,6919.32,2328.45,-84.7557,1191.454226160326,1191.4
85,748,6919.25,2327.7,-84.7361,1191.554200157834,1191.5
85,748,6919.19,2326.93,-84.716,1191.654213155285,1191.6
85,748,6919.12,2326.15,-84.6954,1191.754239152685,1191.7
85,748,6919.05,2325.36,-84.6745,1191.854226150053,1191.8
85,748,6918.98,2324.55,-84.6533,1191.95421314738,1191.9
85,748,6918.91,2323.73,-84.6315,1192.054239144659,1192.0
85,748,6918.83,2322.9,-84.6095,1192.154226141901,1192.1
85,748,6918.76,2322.05,-84.587,1192.254226139102,1192.2
85,748,6918.68,2321.19,-84.5641,1192.354239136251,1192.3
85,748,6918.61,2320.32,-84.5407,1192.454239133351,1192.4
85,748,6918.53,2319.43,-84.5169,1192.554226130395,1192.5
85,748,6918.45,2318.52,-84.4925,1192.654200127387,1192.6
85,748,6918.37,2317.6,-84.4679,1192.754213124349,1192.7
85,748,6918.29,2316.67,-84.4428,1192.854213121268,1192.8
85,748,6918.2,2315.73,-84.4174,1192.954213118157,1192.9
85,748,6918.12,2314.78,-84.3914,1193.054239114985,1193.0
85,748,6918.04,2313.81,-84.365,1193.154226111772,1193.1
85,748,6917.95,2312.82,-84.3382,1193.254200108521,1193.2
85,748,6917.86,2311.82,-84.3109,1193.35422610521,1193.3
85,748,6917.77,2310.81,-84.2829,1193.45420010184,1193.4
85,748,6917.68,2309.78,-84.2546,1193.554239098438,1193.5
85,748,6917.59,2308.74,-84.2258,1193.654200094978,1193.6
85,748,6916.67,2298.17,-83.9282,1193.754200059988,1193.7
85,748,6916.58,2297.23,-83.9014,1193.854239056893,1193.8
85,748,6916.5,2296.29,-83.8742,1193.954200053764,1193.9
85,748,6916.42,2295.33,-83.8468,1194.054239050591,1194.0
85,748,6916.33,2294.36,-83.8188,1194.154213047388,1194.1
85,748,6916.24,2293.38,-83.7903,1194.254239044139,1194.2
85,748,6916.16,2292.39,-83.7614,1194.35423904086,1194.3
85,748,6916.07,2291.39,-83.7322,1194.45423903755,1194.4
85,748,6915.98,2290.37,-83.7025,1194.554213034208,1194.5
