RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
85,4696,6909.92,2346.25,-85.8034,802.900140935101,802.9
85,4696,6909.94,2346.26,-85.8037,810.100146028852,810.1
85,4696,6909.99,2346.27,-85.8044,810.200149947123,810.2
85,4696,6910.06,2346.28,-85.8055,810.300146073105,810.3
85,4696,6910.15,2346.31,-85.807,810.400146829508,810.4
105,5680,5418.18,3102.43,-127.829,810.454471129245,810.4
105,5680,5416.39,3104.47,-128.289,810.500144018579,810.5
85,4696,6910.26,2346.33,-85.8088,810.500147245242,810.5
105,5680,5414.6,3106.5,-128.742,810.600140242019,810.6
85,4696,6910.4,2346.36,-85.811,810.600142232698,810.6
105,5680,5412.81,3108.53,-129.19,810.700144022753,810.7
85,4696,6910.56,2346.4,-85.8135,810.700149906398,810.7
105,5680,5411.02,3110.57,-129.632,810.800140278164,810.8
85,4696,6910.74,2346.44,-85.8164,810.8001472243,810.8
85,2278,6908.11,2345.85,-104.972,812.700138634545,812.7
85,2278,6908.52,2345.94,-85.7811,812.800142457593,812.8
85,2278,6908.95,2346.04,-85.7879,812.900146857936,812.9
85,2278,6909.4,2346.14,-85.795,813.000145937611,813.0
85,2278,6909.86,2346.24,-85.8023,813.10014071992,813.1
85,2278,6910.33,2346.35,-85.8099,813.25466102676,813.2
55,5476,5716.93,1227.33,-109.247,816.254277038815,816.2
105,4462,5451.42,3064.6,-123.287,816.254681742864,816.2
55,580,6552.74,954.016,-88.9044,816.300149047088,816.3
55,5476,5716.74,1226.53,-108.742,816.354290037645,816.3
105,4462,5443.85,3073.29,-118.917,816.354874195786,816.3
55,580,6553.64,953.967,-88.9182,816.400149050056,816.4
55,5476,5716.55,1225.72,-108.224,816.454277036457,816.4
105,4462,5442.49,3074.84,-116.155,816.454874192628,816.4
55,580,6554.54,953.918,-88.9322,816.500149053056,816.5
55,5476,5716.35,1224.89,-107.693,816.554277035253,816.5
105,4462,5441.12,3076.39,-113.458,816.555067538108,816.5
55,580,6555.45,953.868,-88.9463,816.6001490561,816.6
55,5476,5716.15,1224.05,-107.153,816.654264034038,816.6
105,4462,5439.75,3077.94,-110.838,816.654678992711,816.6
55,580,6556.38,953.818,-88.9607,816.700149059194,816.7
55,5476,5715.95,1223.19,-106.6,816.75427703281,816.7
105,4462,5438.38,3079.5,-128.721,816.75486371918,816.7
55,580,6557.32,953.766,-88.9752,816.800149062325,816.8
55,5476,5715.75,1222.32,-106.036,816.854251031571,816.8
105,4462,5437.02,3081.04,-122.023,816.854691982179,816.8
55,580,6558.28,953.714,-88.9899,816.900149065513,816.9
55,5476,5715.54,1221.45,-105.461,816.954264030324,816.9
105,4462,5435.66,3082.59,-123.032,816.954876703123,816.9
55,580,6559.25,953.661,-89.0048,817.000149068748,817.0
55,5476,5715.33,1220.56,-87.2857,817.054277029068,817.0
105,4462,5434.29,3084.14,-123.43,817.054677244119,817.0
55,580,6560.24,953.607,-89.0199,817.100149072026,817.1
55,5476,5715.12,1219.66,-87.2812,817.154290027806,817.1
105,4462,5432.93,3085.69,-123.824,817.15466869745,817.1
55,580,6561.24,953.553,-89.0352,817.200149075349,817.2
55,5476,5714.91,1218.76,-87.2768,817.254264026537,817.2
105,4462,5431.56,3087.24,-124.215,817.254478235819,817.2
55,580,6562.25,953.498,-89.0506,817.300149078712,817.3
55,5476,5714.69,1217.84,-87.2723,817.354264025254,817.3
105,4462,5430.19,3088.79,-124.603,817.354677205439,817.3
55,580,6563.27,953.442,-89.0662,817.400149082106,817.4
55,5476,5714.47,1216.9,-87.2679,817.454290023962,817.4
105,4462,5428.83,3090.34,-124.986,817.454881348916,817.4
55,580,6564.3,953.386,-89.082,817.500149085559,817.5
55,5476,5714.25,1215.96,-87.2634,817.554277022662,817.5
105,4462,5427.47,3091.89,-125.364,817.55487236655,817.5
55,580,6575.03,952.859,-89.2478,817.60014912126,817.6
55,5476,5714.03,1215.01,-87.2589,817.654264021352,817.6
105,4462,5426.1,3093.44,-125.739,817.654862232337,817.6
55,580,6576.01,952.821,-89.2635,817.700149124497,817.7
55,5476,5713.8,1214.04,-87.2544,817.754277020032,817.7
105,4462,5424.73,3095.0,-126.11,817.755067347609,817.7
55,580,6576.99,952.783,-89.2793,817.800149127775,817.8
55,5476,5710.51,1200.23,-127.749,817.854277002178,817.8
105,4870,5451.59,3064.4,-123.37,817.85448088337,817.8
105,4462,5423.37,3096.54,-126.475,817.854872319278,817.8
55,580,6577.99,952.744,-89.2953,817.90014913109,817.9
105,4870,5450.16,3066.06,-122.675,817.90015135932,817.9
55,5476,5710.51,1200.21,-127.77,817.954264002142,817.9
105,4462,5422.0,3098.09,-126.836,817.954874140681,817.9
105,4870,5442.54,3074.77,-116.27,818.000140203759,818.0
55,580,6579.0,952.705,-89.3176,818.000149134442,818.0
55,5476,5710.5,1200.18,-127.791,818.054290002107,818.0
105,4462,5420.64,3099.64,-127.195,818.05467718747,818.0
55,580,6580.02,952.665,-89.3328,818.100149137843,818.1
105,4870,5441.12,3076.38,-113.468,818.100151237085,818.1
55,5476,5710.49,1200.15,-127.807,818.154290002071,818.1
105,4462,5419.27,3101.19,-127.548,818.154875372147,818.1
105,4870,5439.7,3078.0,-110.745,818.200141403353,818.2
55,580,6581.05,952.625,-89.348,818.200149141273,818.2
55,5476,5710.49,1200.12,-127.829,818.254264002035,818.2
105,4462,5417.91,3102.74,-127.9,818.254666119298,818.2
105,4870,5438.28,3079.61,-129.511,818.300141156271,818.3
55,580,6582.09,952.585,-89.3633,818.300149144746,818.3
55,5476,5710.48,1200.09,-127.851,818.354290001998,818.3
105,4462,5416.54,3104.29,-128.25,818.354668635387,818.3
105,4870,5436.86,3081.22,-122.676,818.400143541664,818.4
55,580,6583.15,952.544,-89.3789,818.400149148264,818.4
55,5476,5710.47,1200.06,-127.873,818.45425100196,818.4
105,4462,5415.18,3105.84,-128.596,818.454679005818,818.4
105,4870,5435.45,3082.83,-123.093,818.500140036341,818.5
55,580,6584.22,952.503,-89.3946,818.500149151816,818.5
55,5476,5710.46,1200.02,-127.896,818.554290001922,818.5
105,4462,5413.82,3107.38,-128.938,818.554676989657,818.5
55,580,6585.3,952.461,-89.4104,818.600149155411,818.6
105,4870,5434.03,3084.43,-123.506,818.600151832244,818.6
55,5476,5710.46,1199.99,-127.919,818.654264001884,818.6
105,4462,5412.46,3108.93,-129.277,818.654874103672,818.6
