RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
110,3574,6664.87,2929.52,-83.0229,336.454259846989,336.4
75,6058,4934.64,1880.68,-128.155,337.454990207631,337.4
75,1984,4922.12,1877.91,-125.686,339.854803640256,339.8
75,1984,4922.81,1877.89,-125.828,339.954428513893,339.9
75,1984,4923.48,1877.86,-125.969,340.054606707586,340.0
75,1984,4924.13,1877.84,-126.105,340.154606704524,340.1
75,1984,4924.74,1877.82,-126.237,340.254814345772,340.2
75,1984,4925.34,1877.8,-126.367,340.354637211311,340.3
75,1984,4925.9,1877.78,-126.493,340.455017613501,340.4
75,1984,4926.44,1877.76,-126.617,340.554956636774,340.5
75,1984,4926.95,1877.74,-126.736,340.654403086389,340.6
75,1984,4927.44,1877.73,-126.852,340.75480556996,340.7
75,1984,4927.9,1877.71,-126.965,340.854604094241,340.8
75,1984,4928.34,1877.69,-127.074,340.955178955502,340.9
75,1984,4928.76,1877.68,-127.179,341.05459600698,341.0
75,1984,4929.89,1877.64,-127.468,341.354429051174,341.3
75,1984,4930.22,1877.63,-127.555,341.454416046392,341.4
75,1984,4930.54,1877.62,-127.639,341.554415529554,341.5
75,1984,4930.84,1877.61,-127.72,341.654434510838,341.6
75,1984,4931.38,1877.59,-127.868,341.854421511856,341.8
75,1984,4931.86,1877.57,-128.002,342.054619250767,342.0
75,1984,4932.08,1877.56,-128.062,342.154624015068,342.1
85,6118,6916.5,2332.94,-85.247,342.154989622475,342.1
75,1984,4932.28,1877.56,-128.119,342.254416010338,342.2
85,6190,6882.74,1958.68,-71.9563,342.354488178569,342.3
75,1984,4932.46,1877.55,-128.172,342.354776636669,342.3
75,1984,4932.64,1877.54,-128.222,342.454981660523,342.4
75,1984,4932.8,1877.54,-128.27,342.554402997837,342.5
85,1294,6916.97,2338.23,-85.3824,342.654405776401,342.6
75,1984,4932.95,1877.53,-128.314,342.654786070102,342.6
85,5122,6910.63,2346.41,-85.8147,342.655177754335,342.6
75,1984,4933.08,1877.53,-128.354,342.754822735455,342.7
