RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
100,562,4984.82,2562.72,-96.7645,201.654785225502,201.6
100,2152,4984.23,2562.75,-118.854,202.654791712997,202.6
100,4582,4984.9,2562.72,-96.7644,203.654397186978,203.6
105,2044,5928.84,2779.54,-129.12,204.354227940917,204.3
105,5530,5900.66,2763.38,-116.989,204.354423131164,204.3
105,568,5940.82,2796.22,-125.745,204.355344387489,204.3
105,2044,5931.28,2780.66,-128.499,204.454227935008,204.4
105,568,5938.8,2795.34,-126.356,204.454791596158,204.4
105,496,5441.92,3075.47,-115.447,204.454990954352,204.4
105,2044,5933.72,2781.78,-127.837,204.554214929145,204.5
105,5530,5905.11,2766.3,-117.042,204.554410116866,204.5
105,262,5933.24,2796.43,-128.238,204.555551504604,204.5
105,2908,5958.93,2806.78,-129.419,204.555746542566,204.5
105,2044,5936.16,2782.89,-127.162,204.654201923356,204.6
105,496,5441.42,3076.05,-114.447,204.65461758756,204.6
105,568,5934.76,2793.59,-127.566,204.654800454834,204.6
105,2098,5433.1,3071.54,-121.677,204.70014430682,204.7
105,2044,5938.62,2784.0,-126.475,204.754214917668,204.7
105,2908,5954.82,2805.21,-110.036,204.755177775007,204.7
105,2044,5941.09,2785.03,-108.448,204.854214912225,204.8
105,496,5440.86,3076.69,-113.251,204.854791531086,204.8
105,2044,5943.58,2786.07,-109.248,204.954240906827,204.9
105,262,5925.15,2792.8,-111.711,204.954988420933,204.9
105,2908,5950.71,2803.65,-108.749,204.955378637417,204.9
105,5530,5914.17,2771.9,-114.944,204.955573933833,204.9
105,2044,5946.05,2787.11,-109.92,205.054214901518,205.0
105,568,5926.71,2789.99,-110.118,205.054997044656,205.0
100,1840,4985.03,2562.72,-96.7642,205.055182207679,205.0
105,496,5440.24,3077.39,-111.77,205.05518249548,205.0
105,2044,5948.54,2788.15,-110.613,205.154214896261,205.1
105,2098,5434.18,3070.28,-122.195,205.155376536828,205.1
105,2044,5951.01,2789.19,-111.324,205.254227891091,205.2
105,496,5439.58,3078.13,-110.52,205.254598461057,205.2
105,568,5922.69,2788.18,-112.395,205.254791221965,205.2
105,2044,5953.49,2790.23,-112.055,205.354214885997,205.3
105,496,5439.23,3078.53,-109.862,205.354782461751,205.3
105,568,5920.69,2787.26,-113.494,205.35536907841,205.3
105,568,5916.75,2785.27,-115.687,205.55442307766,205.5
105,496,5438.49,3079.37,-127.854,205.554597205685,205.5
105,496,5438.1,3079.82,-113.183,205.654405277685,205.6
105,262,5911.17,2786.04,-116.052,205.655177347292,205.6
105,262,5909.2,2785.03,-116.026,205.755566376093,205.7
105,1612,5906.89,2771.19,-116.879,205.854790586992,205.8
105,1612,5909.13,2772.58,-116.921,205.954397197324,205.9
105,568,5908.93,2781.21,-116.279,205.954982402939,205.9
105,5530,5938.02,2783.74,-126.639,205.955344194736,205.9
105,1612,5911.36,2773.97,-116.959,206.054397190699,206.0
105,1612,5913.66,2775.26,-115.883,206.154631392097,206.1
105,496,5435.99,3082.21,-122.933,206.154803835609,206.1
105,568,5905.15,2778.94,-116.442,206.154982324931,206.1
105,496,5435.53,3082.73,-123.068,206.254986696134,206.2
100,3496,4984.36,2562.74,-118.803,206.300145984122,206.3
105,1612,5920.63,2779.02,-112.422,206.455162092975,206.4
105,1774,5958.82,2803.31,-129.812,206.654810116211,206.6
105,496,5433.61,3084.92,-123.628,206.654977949941,206.6
105,1612,5925.32,2781.46,-128.27,206.655369241946,206.6
105,5188,5916.8,2785.29,-115.663,206.854436240633,206.8
105,1774,5955.05,2801.87,-110.533,206.855344001396,206.8
105,1612,5932.54,2784.76,-128.355,206.954436184055,206.9
105,496,5432.05,3086.69,-124.077,206.954977776322,206.9
105,496,5431.5,3087.31,-124.233,207.054370137899,207.0
105,1612,5934.95,2785.86,-127.69,207.054790593356,207.0
100,1738,4984.99,2562.72,-96.7643,207.10014618007,207.1
105,2908,5906.66,2783.58,-116.132,207.155369996914,207.1
105,1612,5939.82,2787.97,-126.336,207.255005363811,207.2
105,496,5430.37,3088.6,-124.554,207.255372498031,207.2
105,496,5429.78,3089.26,-124.719,207.354370144544,207.3
105,1612,5942.27,2789.0,-108.351,207.354603833069,207.3
105,5188,5905.25,2779.0,-116.442,207.455136131568,207.4
105,4300,5925.57,2792.99,-111.472,207.455331146842,207.4
105,1612,5947.15,2791.04,-109.806,207.554430935371,207.5
105,496,5428.58,3090.63,-125.056,207.554600804005,207.5
105,1612,5949.6,2792.07,-110.505,207.654410144105,207.6
105,1774,5940.05,2795.88,-125.979,207.654800564803,207.6
105,496,5427.96,3091.33,-125.227,207.655183339811,207.6
105,4300,5921.57,2791.19,-113.723,207.655333351961,207.6
105,4300,5919.58,2790.29,-114.824,207.700147016342,207.7
105,1774,5938.2,2795.08,-126.539,207.754596208729,207.7
105,1612,5952.05,2793.1,-111.221,207.754986284107,207.7
105,4300,5917.62,2789.3,-115.93,207.800148556896,207.8
105,496,5426.68,3092.78,-125.579,207.85517812718,207.8
105,496,5426.03,3093.52,-125.757,207.954357159089,207.9
105,496,5424.69,3095.05,-126.121,208.154370164328,208.1
105,1774,5930.81,2791.85,-128.709,208.154605282484,208.1
105,4300,5911.75,2786.33,-116.06,208.154995092211,208.1
55,3940,5952.65,999.771,-70.6922,208.254320198805,208.2
55,3940,5950.88,999.866,-70.8596,208.354307203115,208.3
105,496,5423.3,3096.62,-126.494,208.354370169749,208.3
105,4300,5907.86,2784.3,-116.051,208.354787543314,208.3
105,1774,5927.13,2790.18,-109.876,208.354982569803,208.3
55,3940,5949.12,999.961,-71.0265,208.454333207493,208.4
105,496,5422.58,3097.44,-126.684,208.454793270849,208.4
105,1774,5923.45,2788.52,-111.972,208.500137809662,208.5
55,3940,5947.34,1000.06,-71.1955,208.554307211961,208.5
105,496,5421.86,3098.26,-126.875,208.554331175375,208.5
105,1774,5921.62,2787.69,-112.988,208.600144747782,208.6
105,496,5421.12,3099.09,-127.068,208.654331178251,208.6
55,3940,5945.57,1000.15,-71.3647,208.654333216489,208.6
105,1774,5919.8,2786.81,-113.994,208.700144363188,208.7
55,3940,5943.8,1000.25,-71.5325,208.754333221072,208.7
105,496,5420.37,3099.94,-127.264,208.754589021029,208.7
105,1774,5918.0,2785.9,-115.006,208.800142412079,208.8
55,3940,5942.02,1000.34,-71.6998,208.854307225727,208.8
105,496,5419.61,3100.81,-127.462,208.854405505481,208.8
105,1774,5916.2,2784.99,-115.975,208.900143326342,208.9
110,4828,6628.38,2990.24,-82.9968,208.9542808853,208.9
105,496,5418.83,3101.7,-127.663,208.95434418724,208.9
55,3940,5940.26,1000.44,-71.8647,208.954346230406,208.9
110,4828,6630.73,2989.88,-82.9497,209.054241877632,209.0
55,3940,5938.49,1000.54,-72.0282,209.054307235135,209.0
110,4828,6658.68,2985.35,-82.1344,209.154267786633,209.1
55,3940,5936.72,1000.63,-72.1909,209.154320239929,209.1
105,1774,5912.6,2783.16,-116.266,209.154590980327,209.1
105,496,5417.23,3103.51,-128.074,209.154977882216,209.1
105,1774,5910.8,2782.25,-116.238,209.200143890189,209.2
110,4828,6659.92,2985.14,-82.097,209.254267782612,209.2
55,3940,5934.95,1000.73,-72.3522,209.25433324477,209.2
105,496,5416.41,3104.45,-128.284,209.254344196765,209.2
110,4828,6661.16,2984.92,-82.0807,209.354241778599,209.3
55,3940,5933.18,1000.82,-72.5119,209.354333249654,209.3
105,1774,5907.31,2780.23,-116.384,209.40014332067,209.4
110,4828,6662.41,2984.7,-82.0409,209.454254774577,209.4
55,3940,5931.4,1000.92,-72.6699,209.454346254577,209.4
105,496,5414.72,3106.36,-128.711,209.454613721361,209.4
110,4828,6663.65,2984.49,-82.0027,209.55428077056,209.5
105,496,5413.86,3107.33,-128.927,209.554331206799,209.5
55,3940,5929.64,1001.01,-72.8259,209.554346259525,209.5
105,1774,5905.58,2779.2,-116.443,209.554982996291,209.5
105,1774,5903.85,2778.16,-116.439,209.600143365203,209.6
110,4828,6664.89,2984.27,-81.9642,209.654241766553,209.6
55,3940,5927.87,1001.11,-72.9803,209.654333264512,209.6
105,496,5412.99,3108.32,-129.144,209.654344210245,209.6
100,4366,4984.04,2562.75,-118.928,209.654397220722,209.6
110,4828,6666.13,2984.05,-81.924,209.754280762539,209.7
55,3940,5926.1,1001.2,-73.1333,209.754333269543,209.7
105,496,5412.11,3109.33,-129.363,209.754370213746,209.7
110,4828,6667.37,2983.83,-81.8838,209.854241758537,209.8
55,3940,5924.33,1001.3,-73.2849,209.854320274613,209.8
105,496,5411.21,3110.34,-129.584,209.854992097031,209.8
110,4828,6668.61,2983.61,-81.8433,209.954280754531,209.9
55,3940,5922.57,1001.4,-73.4338,209.954307279683,209.9
105,496,5410.3,3111.37,-129.805,209.954601066964,209.9
110,4828,6669.86,2983.4,-81.8025,210.054241750527,210.0
55,3940,5920.8,1001.49,-73.5814,210.054307284793,210.0
110,4828,6671.09,2983.18,-81.7616,210.154241746537,210.1
55,3940,5919.03,1001.59,-73.7275,210.154333289939,210.1
110,4828,6672.33,2982.96,-81.7205,210.254241742542,210.2
55,3940,5917.27,1001.68,-73.8714,210.254320295092,210.2
75,3928,4966.34,1879.77,-126.612,210.300144718394,210.3
110,4828,6673.57,2982.74,-81.6794,210.35424173855,210.3
55,3940,5915.51,1001.78,-74.0139,210.354320300282,210.3
75,3928,4968.72,1879.72,-129.186,210.400145337654,210.4
110,4828,6674.81,2982.53,-81.6381,210.454241734554,210.4
55,3940,5913.75,1001.87,-74.1546,210.454346305487,210.4
110,4828,6676.06,2982.31,-81.5967,210.554267730564,210.5
55,3940,5911.97,1001.97,-74.2943,210.554307310743,210.5
75,4750,4967.11,1876.55,-128.433,210.554988353093,210.5
110,4828,6677.3,2982.09,-81.5551,210.654267726576,210.6
55,3940,5910.21,1002.06,-74.4318,210.654333315996,210.6
110,4828,6678.54,2981.87,-81.5133,210.754241722594,210.7
55,3940,5908.44,1002.16,-74.5683,210.754346321296,210.7
75,688,4926.19,1880.97,-125.972,210.754785845301,210.7
110,4828,6679.78,2981.66,-81.4713,210.854280718605,210.8
55,3940,5906.67,1002.25,-74.7028,210.854320326601,210.8
100,2560,4984.26,2562.74,-118.841,210.854784819235,210.8
110,4828,6681.02,2981.44,-81.4292,210.954241714633,210.9
55,3940,5904.9,1002.35,-74.8361,210.954320331939,210.9
110,4828,6682.26,2981.22,-81.3868,211.054241710645,211.0
55,3940,5903.13,1002.45,-74.9679,211.054320337299,211.0
75,688,4933.2,1880.73,-127.732,211.054982482668,211.0
110,4828,6691.82,2979.7,-81.0376,211.154280680006,211.1
55,3940,5901.37,1002.54,-75.097,211.154320342629,211.1
110,4828,6694.33,2979.48,-80.9149,211.254254671965,211.2
55,3940,5899.6,1002.64,-75.2252,211.254346348001,211.2
110,4828,6696.83,2979.26,-80.7109,211.354254663901,211.3
55,3940,5897.85,1002.73,-75.3513,211.354333353363,211.3
110,4828,6699.34,2979.04,-80.6204,211.454280655871,211.4
55,3940,5896.08,1002.83,-75.4768,211.454320358779,211.4
110,4828,6701.84,2978.82,-80.5289,211.55428064783,211.5
55,3940,5894.3,1002.92,-75.6012,211.55434636422,211.5
110,4828,6704.35,2978.6,-80.4364,211.654241639791,211.6
55,3940,5892.54,1003.02,-75.7232,211.654333369637,211.6
110,4828,6706.86,2978.38,-80.3431,211.754267631766,211.7
55,3940,5890.77,1003.11,-75.8447,211.754320375103,211.7
110,4828,6709.36,2978.16,-80.2492,211.854280623771,211.8
55,3940,5889.01,1003.21,-75.9641,211.854346380557,211.8
75,748,4924.6,1881.03,-125.627,211.954199545839,211.9
110,4828,6711.87,2977.94,-80.1545,211.954267615786,211.9
55,3940,5887.24,1003.3,-76.0823,211.954320386027,211.9
75,688,4966.17,1879.78,-126.447,212.000143800075,212.0
55,3940,5885.48,1003.4,-76.199,212.054307391499,212.0
110,4828,6714.37,2977.72,-80.0586,212.054419787627,212.0
75,748,4926.87,1880.95,-126.123,212.054977588226,212.0
55,3940,5883.71,1003.49,-76.3149,212.154346397008,212.1
110,4828,6716.88,2977.5,-79.962,212.154445787065,212.1
75,748,4929.15,1880.87,-126.659,212.155125322079,212.1
75,688,4968.28,1879.73,-128.669,212.155320407798,212.1
75,748,4931.43,1880.79,-127.246,212.25421253528,212.2
55,3940,5881.94,1003.59,-76.4292,212.254320402513,212.2
110,4828,6719.38,2977.28,-79.8646,212.254471786521,212.2
55,3940,5880.17,1003.69,-76.5424,212.354320408041,212.3
110,4828,6721.88,2977.06,-79.7661,212.354419785991,212.3
75,748,4933.71,1880.71,-127.88,212.354593254017,212.3
75,748,4936.0,1880.63,-128.581,212.454199528681,212.4
55,3940,5878.41,1003.78,-76.6538,212.454320413549,212.4
110,4828,6724.39,2976.84,-79.6665,212.454432785481,212.4
110,4828,6726.9,2976.62,-79.5663,212.554267568032,212.5
55,3940,5876.65,1003.88,-76.7642,212.554320419078,212.5
110,4828,6729.41,2976.6,-79.368,212.654254560011,212.6
55,3940,5860.8,1004.73,-77.7049,212.654346469146,212.6
110,4828,6731.91,2976.64,-79.1505,212.754280551977,212.7
55,3940,5859.39,1004.81,-77.7842,212.75434647362,212.7
110,4828,6734.42,2976.69,-79.0274,212.854280543956,212.8
55,3940,5857.99,1004.88,-77.8624,212.854346478085,212.8
110,4828,6736.94,2976.73,-78.9134,212.954241535918,212.9
55,3940,5856.59,1004.96,-77.9402,212.954333482554,212.9
110,4828,6739.45,2976.77,-78.7981,213.05426752789,213.0
55,3940,5855.19,1005.03,-78.0172,213.054307487015,213.0
100,2398,4714.3,3006.19,-112.443,213.054613914805,213.0
55,3940,5853.79,1005.11,-78.0935,213.15433349148,213.1
110,4828,6741.97,2976.81,-78.6814,213.154445784016,213.1
100,2398,4714.43,3007.95,-113.694,213.154784759676,213.1
110,4828,6744.48,2976.85,-78.5637,213.254280511886,213.2
55,3940,5852.39,1005.18,-78.1695,213.254333495961,213.2
105,856,5434.46,3069.96,-122.324,213.254607275082,213.2
100,2398,4714.57,3009.7,-115.514,213.254934700347,213.2
110,4828,6747.0,2976.89,-78.4442,213.354280503891,213.3
100,2398,4714.71,3011.46,-118.421,213.35429110557,213.3
55,3940,5850.98,1005.26,-78.2449,213.354307500447,213.3
105,856,5436.36,3067.76,-123.233,213.354433604184,213.3
75,748,4966.82,1879.76,-127.083,213.354593065858,213.3
100,3130,4985.3,2565.91,-96.7009,213.354982248767,213.3
110,4828,6749.51,2976.94,-78.3236,213.454267495928,213.4
55,3940,5849.57,1005.34,-78.3199,213.454320504949,213.4
100,2398,4714.85,3013.22,-123.778,213.454418757111,213.4
75,748,4968.95,1879.71,-129.463,213.45459233288,213.4
110,4828,6752.01,2976.98,-78.2016,213.554254487979,213.5
55,3940,5848.17,1005.41,-78.3941,213.554320509443,213.5
110,4828,6754.53,2977.02,-78.0779,213.654280480031,213.6
55,3940,5846.76,1005.49,-78.4681,213.65430751396,213.6
110,4828,6757.04,2977.06,-77.953,213.754241472116,213.7
55,3940,5845.35,1005.56,-78.5413,213.754346518468,213.7
110,4828,6759.54,2977.28,-77.7483,213.854254464149,213.8
55,3940,5843.96,1005.64,-78.6134,213.854320522949,213.8
100,3982,4984.35,2562.74,-118.808,213.900149029825,213.9
110,4828,6762.04,2977.56,-77.5552,213.954280456165,213.9
55,3940,5842.56,1005.71,-78.6852,213.954320527444,213.9
85,2812,7099.18,2069.19,-114.596,214.000139441591,214.0
85,5638,6891.83,1974.18,-69.6676,214.054262745619,214.0
110,4828,6764.5,2977.83,-77.4136,214.054267448322,214.0
55,3940,5841.15,1005.79,-78.7567,214.054320531959,214.0
85,4768,7098.24,2075.06,-118.32,214.054404244306,214.0
85,5206,6910.65,2346.42,-85.8149,214.055176203553,214.0
85,6118,6916.05,2327.86,-85.1152,214.055371785772,214.0
110,4828,6766.92,2978.1,-77.2762,214.154254440614,214.1
55,3940,5839.75,1005.86,-78.8275,214.154307536461,214.1
85,1198,6891.59,1969.77,-69.8642,214.154496768164,214.1
110,4828,6769.3,2978.36,-77.1394,214.254254433057,214.2
55,3940,5838.35,1005.94,-78.8976,214.254346540964,214.2
85,2608,6916.99,2338.46,-85.3881,214.255176434432,214.2
110,4828,6771.64,2978.62,-77.0031,214.354280425648,214.3
55,3940,5836.94,1006.02,-78.968,214.35433354552,214.3
110,4828,6773.93,2978.87,-76.8676,214.454241418388,214.4
55,3940,5835.51,1006.09,-79.0385,214.454346550115,214.4
110,4828,6776.18,2979.12,-76.7326,214.554241411272,214.5
55,3940,5834.07,1006.17,-79.1092,214.554307554762,214.5
110,4828,6778.4,2979.37,-76.5984,214.654280404304,214.6
55,3940,5832.62,1006.25,-79.1798,214.654333559442,214.6
110,4828,6780.56,2979.61,-76.465,214.754254397484,214.7
55,3940,5831.15,1006.33,-79.2507,214.754307564183,214.7
110,4828,6782.69,2979.84,-76.3324,214.854267390807,214.8
55,3940,5829.67,1006.41,-79.3216,214.854333568962,214.8
100,946,4714.32,3006.45,-112.603,214.900148855802,214.9
110,4828,6784.78,2980.07,-76.2007,214.954280384273,214.9
55,3940,5828.18,1006.49,-79.3926,214.95432057378,214.9
100,946,4714.47,3008.37,-114.065,215.000139439158,215.0
110,4828,6786.83,2980.3,-76.0701,215.054241377888,215.0
55,3940,5826.67,1006.57,-79.4636,215.054346578646,215.0
100,946,4714.62,3010.28,-116.308,215.100148796474,215.1
110,4828,6816.84,2983.44,-73.9792,215.154267286563,215.1
55,3940,5825.15,1006.65,-79.5347,215.154307583557,215.1
100,946,4714.77,3012.19,-120.19,215.200139245154,215.2
110,4828,6818.64,2983.53,-73.8569,215.254280281327,215.2
55,3940,5823.62,1006.73,-79.606,215.254320588519,215.2
100,946,4714.92,3014.08,-128.44,215.300146369699,215.3
110,4828,6820.43,2983.62,-73.8249,215.354267276123,215.3
110,4828,6822.23,2983.71,-73.6942,215.454280270937,215.4
110,4828,6824.03,2983.8,-73.5626,215.554241265784,215.5
110,4828,6825.83,2983.89,-73.4303,215.654241260671,215.6
110,4828,6827.63,2983.98,-73.2972,215.754267255588,215.7
110,4828,6829.44,2984.07,-73.1631,215.854241250527,215.8
110,4828,6831.24,2984.17,-73.0285,215.954241245502,215.9
75,3358,4926.21,1880.97,-125.976,216.054201627286,216.0
110,4828,6833.04,2984.26,-72.8945,216.054267240539,216.0
110,4828,6834.83,2984.35,-72.7603,216.154254235625,216.1
75,3358,4928.81,1880.88,-126.577,216.154398018502,216.1
75,3358,4931.41,1880.79,-127.243,216.254201619309,216.2
110,4828,6836.64,2984.44,-72.6252,216.254241230728,216.2
100,1144,4714.31,3006.32,-112.523,216.300138886687,216.3
110,4828,6838.44,2984.53,-72.4905,216.354254225892,216.3
75,3358,4934.02,1880.7,-127.97,216.354394844525,216.3
100,1144,4714.45,3008.09,-113.81,216.400138009306,216.4
75,3358,4936.61,1880.61,-128.779,216.454214611841,216.4
110,4828,6840.24,2984.62,-72.3558,216.454267221102,216.4
110,4828,6842.04,2984.71,-72.2215,216.554267216366,216.5
100,1144,4714.59,3009.84,-115.698,216.554355446106,216.5
110,4828,6843.83,2984.9,-72.0319,216.654254211658,216.6
100,1144,4714.72,3011.6,-118.725,216.654394445865,216.6
85,1300,6926.48,2453.74,-88.3339,216.654861656988,216.6
85,1300,6926.52,2454.32,-88.4184,216.700140658926,216.7
110,4828,6845.61,2985.16,-71.8048,216.754280206972,216.7
100,1144,4714.86,3013.36,-124.381,216.754381445659,216.7
110,4828,6847.39,2985.42,-71.5954,216.854267202332,216.8
110,4828,6849.18,2985.68,-71.4478,216.954280197764,216.9
110,4828,6850.97,2985.94,-71.3004,217.054280193248,217.0
100,5584,4983.95,2562.76,-118.966,217.054791188219,217.0
110,4828,6852.75,2986.2,-71.1541,217.154267188807,217.1
85,1300,6926.7,2456.78,-87.9584,217.154665168527,217.1
85,1300,6926.75,2457.43,-87.9706,217.20014123398,217.2
75,3358,4967.41,1879.75,-127.706,217.254201578485,217.2
110,4828,6854.54,2986.47,-71.0094,217.254254184441,217.2
110,4828,6856.32,2986.73,-70.8669,217.354254180165,217.3
110,4828,6858.11,2986.99,-70.7267,217.454241175968,217.4
85,1300,6926.89,2459.45,-88.0085,217.50014101807,217.5
75,1036,4926.04,1880.98,-125.939,217.500144519476,217.5
110,4828,6859.89,2987.25,-70.5899,217.554241171875,217.5
75,1036,4928.71,1880.88,-126.553,217.600144325719,217.6
110,4828,6861.67,2987.51,-70.4571,217.654254167883,217.6
85,1300,6926.99,2460.86,-88.035,217.700143296826,217.7
110,4828,6863.46,2987.77,-70.3286,217.754254163972,217.7
85,1294,6916.52,2333.16,-85.2527,217.754789109614,217.7
110,4828,6865.24,2988.03,-70.207,217.854280160188,217.8
75,1036,4934.07,1880.7,-127.984,217.855183870674,217.8
75,1036,4936.73,1880.61,-128.818,217.900137866917,217.9
110,4828,6867.01,2988.29,-70.0919,217.954241156516,217.9
85,1300,6927.15,2463.06,-88.0761,218.000147163213,218.0
110,4828,6868.8,2988.55,-69.9805,218.054267152948,218.0
110,4828,6870.59,2988.81,-69.8657,218.154280149507,218.1
85,1300,6927.26,2464.6,-88.1047,218.200140849635,218.2
110,4828,6872.37,2989.08,-69.7554,218.254254146211,218.2
85,1300,6927.31,2465.38,-88.1192,218.30014606577,218.3
110,4828,6874.15,2989.37,-69.6438,218.354280143057,218.3
110,4828,6875.93,2989.66,-69.544,218.454267140046,218.4
85,1300,6927.43,2466.99,-88.1489,218.500140894875,218.5
110,4828,6877.71,2989.94,-69.4721,218.554241137193,218.5
110,4828,6879.48,2990.23,-69.422,218.654241134509,218.6
110,4828,6881.26,2990.52,-69.3719,218.754241132003,218.7
85,1300,6927.61,2469.5,-88.1951,218.800142829512,218.8
110,4828,6883.04,2990.8,-69.3438,218.85425412967,218.8
110,4828,6884.82,2991.09,-69.3023,218.954267127526,218.9
85,1300,6927.67,2470.36,-88.2109,218.954879203122,218.9
85,2332,6910.8,2343.17,-86.517,218.955512864796,218.9
110,4828,6886.6,2991.38,-69.1796,219.054280125585,219.0
110,4828,6888.38,2991.67,-69.0523,219.154241123849,219.1
85,2332,6909.33,2342.85,-86.5066,219.154789124456,219.1
110,4828,6890.16,2991.95,-68.8716,219.254254122327,219.2
85,2332,6908.57,2342.68,-86.5012,219.254944548972,219.2
110,4828,6891.94,2992.24,-68.5917,219.354267121026,219.3
110,4828,6893.72,2992.53,-68.5254,219.454254119946,219.4
110,4828,6895.5,2992.81,-68.8141,219.554241119097,219.5
110,4828,6897.28,2993.1,-69.076,219.654241118481,219.6
110,4828,6899.06,2993.39,-68.4373,219.7542671181,219.7
110,4828,6900.83,2993.67,-68.0581,219.854241117957,219.8
110,4828,6902.61,2993.96,-68.7857,219.954280118051,219.9
75,5038,4924.89,1881.02,-125.69,219.955125250358,219.9
110,4828,6904.39,2994.25,-68.9508,220.054254118384,220.0
75,5038,4927.22,1880.94,-126.203,220.054588184917,220.0
85,1300,6928.48,2481.73,-88.4169,220.100142910545,220.1
110,4828,6906.17,2994.54,-68.5843,220.154241118951,220.1
75,5038,4929.55,1880.86,-126.76,220.154592393108,220.1
110,4828,6907.94,2994.82,-68.6903,220.254267119753,220.2
100,3544,4984.54,2565.94,-118.715,220.254986046611,220.2
75,5038,4931.88,1880.77,-127.368,220.255377475155,220.2
110,4828,6909.73,2995.11,-68.8805,220.354241120787,220.3
75,5038,4934.21,1880.69,-128.027,220.354788163111,220.3
110,4828,6911.51,2995.4,-68.9149,220.454280122044,220.4
75,5038,4936.54,1880.61,-128.755,220.454395073324,220.4
110,4828,6913.28,2995.68,-68.8708,220.554254123519,220.5
85,1300,6930.05,2501.41,-88.7686,220.600142993569,220.6
110,4828,6915.07,2995.97,-68.8152,220.654267125214,220.6
110,4828,6916.84,2996.26,-68.7246,220.754267127111,220.7
110,4828,6918.62,2996.54,-68.6735,220.854241129209,220.8
110,4828,6920.4,2996.83,-68.6612,220.954267131502,220.9
110,4828,6922.18,2997.12,-68.6851,221.054241133972,221.0
60,388,7197.12,1002.72,-127.443,221.100142682886,221.1
110,4828,6923.96,2997.41,-68.7311,221.154280136619,221.1
60,388,7196.1,1002.55,-127.415,221.200142679546,221.2
110,4828,6925.73,2997.69,-68.7911,221.254267139437,221.2
60,388,7195.09,1002.38,-127.386,221.300142676211,221.3
110,4828,6927.51,2997.98,-68.8795,221.35428014242,221.3
75,5038,4967.43,1879.75,-127.727,221.354393181312,221.3
60,388,7194.09,1002.2,-127.358,221.400142672894,221.4
110,4828,6929.29,2998.27,-68.9815,221.454241145545,221.4
60,388,7193.08,1002.03,-127.33,221.500142669553,221.5
110,4828,6931.07,2998.55,-69.094,221.554254148831,221.5
60,388,7192.07,1001.85,-127.301,221.60014266622,221.6
110,4828,6932.85,2998.84,-69.2145,221.654267152241,221.6
60,388,7191.06,1001.68,-127.272,221.7001426629,221.7
110,4828,6934.63,2999.13,-69.3423,221.754254155784,221.7
60,388,7190.05,1001.51,-127.244,221.800142659556,221.8
110,4828,6936.41,2999.42,-69.4761,221.85424115945,221.8
60,388,7189.04,1001.33,-127.215,221.900142656233,221.9
110,4828,6938.2,2999.7,-69.626,221.95428016324,221.9
60,388,7188.03,1001.16,-127.186,222.000142652897,222.0
110,4828,6939.97,2999.99,-69.7807,222.054254167126,222.0
60,388,7187.02,1000.98,-127.157,222.100142649569,222.1
110,4828,6941.76,3000.28,-69.9426,222.154280171125,222.1
60,388,7186.01,1000.81,-127.128,222.200142646251,222.2
110,4828,6943.54,3000.56,-70.1061,222.254267175218,222.2
60,388,7185.01,1000.64,-127.099,222.300142642938,222.3
110,4828,6945.32,3000.85,-70.2708,222.354267179406,222.3
60,388,7184.0,1000.46,-127.07,222.400142639615,222.4
110,4828,6947.1,3001.14,-70.4363,222.454280183684,222.4
75,3898,4924.63,1881.03,-125.633,222.454588146462,222.4
60,388,7182.99,1000.29,-127.041,222.500142636292,222.5
110,4828,6948.88,3001.43,-70.6015,222.554241188027,222.5
75,3898,4925.82,1880.99,-125.89,222.554393153454,222.5
60,388,7181.99,1000.12,-126.675,222.600142632982,222.6
110,4828,6950.67,3001.71,-70.7674,222.654267192462,222.6
75,3898,4926.96,1880.95,-126.144,222.65478796772,222.6
60,388,7180.98,999.944,-126.175,222.700142629662,222.7
110,4828,6952.44,3002.0,-70.9323,222.754280196949,222.7
75,3898,4928.07,1880.91,-126.399,222.755127669204,222.7
60,388,7179.97,999.77,-125.66,222.800142626336,222.8
110,4828,6954.22,3002.29,-71.0975,222.85424120152,222.8
60,388,7178.96,999.596,-125.127,222.900142622998,222.9
110,4828,6956.0,3002.58,-71.2617,222.954241206147,222.9
75,3898,4930.14,1880.83,-126.91,222.954980916644,222.9
60,388,7177.95,999.422,-124.632,223.000142619678,223.0
110,4828,6957.78,3002.86,-71.4251,223.054254210833,223.0
75,3898,4931.12,1880.8,-127.165,223.054397081041,223.0
60,388,7176.94,999.249,-124.603,223.100142616365,223.1
110,4828,6959.57,3003.15,-71.5881,223.154267215591,223.1
75,3898,4932.05,1880.77,-127.414,223.15439517251,223.1
60,388,7175.93,999.075,-124.574,223.200142613053,223.2
110,4828,6961.34,3003.44,-71.7492,223.254241220381,223.2
60,388,7174.93,998.902,-124.545,223.300142609738,223.3
110,4828,6963.12,3003.72,-71.9096,223.354267225232,223.3
75,3898,4933.79,1880.71,-127.903,223.354593632671,223.3
60,388,7173.91,998.728,-124.517,223.400142606412,223.4
110,4828,6964.9,3004.01,-72.0683,223.454241230118,223.4
75,3898,4934.6,1880.68,-128.143,223.454996508058,223.4
60,388,7172.91,998.554,-124.488,223.500142603093,223.5
