RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
105,2332,5821.04,2759.78,-129.287,1139.554280248197,1139.5
105,2332,5819.05,2759.71,-127.707,1139.654280252328,1139.6
105,2332,5817.06,2759.64,-126.131,1139.754280256474,1139.7
105,2332,5815.08,2759.56,-124.555,1139.854254260643,1139.8
105,2332,5813.1,2759.49,-105.487,1139.95425426484,1139.9
105,2332,5811.1,2759.42,-104.822,1140.054267269077,1140.0
105,2332,5809.12,2759.34,-104.161,1140.154293273317,1140.1
105,2332,5807.14,2759.27,-103.497,1140.254280277594,1140.2
105,2332,5805.15,2759.2,-102.832,1140.3542802819,1140.3
105,2332,5803.17,2759.12,-84.7262,1140.454267286214,1140.4
105,2332,5801.17,2759.05,-84.759,1140.554267290574,1140.5
105,2332,5799.18,2758.98,-84.7918,1140.65429329496,1140.6
105,2332,5797.19,2758.9,-84.8267,1140.754267299356,1140.7
105,2332,5795.21,2758.83,-84.8674,1140.854280303777,1140.8
105,2332,5793.22,2758.76,-84.9081,1140.954254308226,1140.9
105,2332,5791.23,2758.68,-84.9489,1141.054254312701,1141.0
105,2332,5789.24,2758.61,-84.9895,1141.154254317182,1141.1
105,2332,5787.26,2758.54,-85.0301,1141.254293321695,1141.2
105,2332,5785.27,2758.46,-85.0707,1141.354267326216,1141.3
105,2332,5783.29,2758.39,-85.1113,1141.454280330766,1141.4
105,2332,5781.3,2758.32,-85.1518,1141.554267335336,1141.5
105,2332,5779.32,2758.24,-103.627,1141.654267339931,1141.6
105,2332,5777.33,2758.17,-104.106,1141.75425434455,1141.7
105,2332,5775.34,2758.1,-104.582,1141.85425434917,1141.8
105,2332,5773.35,2758.19,-105.068,1141.954267353454,1141.9
105,2332,5771.36,2758.27,-105.551,1142.054293357763,1142.0
105,2332,5769.38,2758.35,-106.039,1142.154280362077,1142.1
105,2332,5767.39,2758.43,-106.532,1142.254254366436,1142.2
105,2332,5765.4,2758.51,-107.022,1142.354267370815,1142.3
85,3160,6909.92,2346.25,-85.8034,1142.400146451924,1142.4
105,2332,5763.42,2758.6,-107.507,1142.454293375194,1142.4
105,2332,5761.44,2758.68,-107.99,1142.554254379605,1142.5
105,2332,5759.45,2758.76,-108.47,1142.654254384036,1142.6
105,2332,5757.47,2758.84,-108.954,1142.754267388489,1142.7
105,2332,5755.48,2758.92,-109.439,1142.854267392976,1142.8
105,2332,5753.49,2759.01,-128.015,1142.954280397464,1142.9
85,6106,7098.28,2074.78,-118.133,1143.55433064139,1143.5
85,6106,7098.6,2072.84,-116.86,1143.654317640136,1143.6
85,6106,7098.91,2070.89,-115.63,1143.754330638939,1143.7
85,6106,7099.22,2068.94,-114.448,1143.854330637801,1143.8
55,838,6505.16,963.281,-129.005,1147.300148725412,1147.3
55,838,6505.17,963.239,-128.958,1147.400141277409,1147.4
55,838,6505.18,963.225,-128.942,1147.500149317923,1147.5
