RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
85,5860,6909.92,2346.25,-85.8034,1336.400143672611,1336.4
55,4174,6505.18,963.225,-128.941,1339.554263620744,1339.5
55,2410,5730.31,1282.17,-107.896,1339.554482505521,1339.5
105,5800,5440.48,3072.27,-120.443,1348.000140947909,1348.0
105,5800,5438.51,3074.5,-117.971,1348.100140989844,1348.1
105,5800,5436.55,3076.73,-114.087,1348.200141000741,1348.2
105,5800,5434.59,3078.96,-110.352,1348.300141011392,1348.3
105,5800,5432.62,3081.19,-118.342,1348.400141022092,1348.4
105,5800,5430.66,3083.42,-123.134,1348.500141032851,1348.5
105,5800,5428.7,3085.64,-123.699,1348.600141043621,1348.6
105,5800,5426.74,3087.87,-124.258,1348.700141054433,1348.7
105,5800,5424.78,3090.1,-124.808,1348.800141065232,1348.8
105,5800,5422.81,3092.32,-125.35,1348.900141076066,1348.9
105,5800,5420.85,3094.55,-125.884,1349.000141086951,1349.0
105,5800,5418.89,3096.78,-126.409,1349.100141097927,1349.1
105,5800,5416.92,3099.01,-126.926,1349.200141108741,1349.2
105,5800,5414.96,3101.24,-127.435,1349.300141119469,1349.3
105,5800,5413.0,3103.47,-127.936,1349.400141130224,1349.4
105,5800,5411.04,3105.69,-128.434,1349.500141141028,1349.5
105,5800,5409.08,3107.92,-128.925,1349.600141151854,1349.6
105,5800,5407.11,3110.15,-129.41,1349.700141162705,1349.7
105,5800,5405.15,3112.37,-129.886,1349.8001411734,1349.8
85,5860,6909.94,2346.26,-85.8037,1350.10014367263,1350.1
55,4174,6505.18,963.209,-128.923,1350.154289620766,1350.1
55,2410,5730.31,1282.15,-107.882,1350.154651505551,1350.1
85,5860,6909.99,2346.27,-85.8044,1350.200143672668,1350.2
55,4174,6505.2,963.177,-128.886,1350.25428962081,1350.2
55,2410,5730.3,1282.11,-107.853,1350.254443505598,1350.2
85,5860,6910.06,2346.28,-85.8055,1350.300143672725,1350.3
55,4174,6505.21,963.129,-128.831,1350.354302620877,1350.3
55,2410,5730.29,1282.05,-107.81,1350.354612505662,1350.3
85,5860,6910.15,2346.31,-85.807,1350.400143672801,1350.4
55,4174,6505.23,963.065,-110.769,1350.454302620965,1350.4
55,2410,5730.27,1281.98,-107.754,1350.454443505723,1350.4
85,5860,6910.26,2346.33,-85.8088,1350.500143672896,1350.5
55,4174,6505.26,962.985,-110.772,1350.554263621075,1350.5
55,2410,5730.25,1281.89,-107.685,1350.554417505782,1350.5
85,5860,6910.4,2346.36,-85.811,1350.600143673011,1350.6
55,4174,6505.29,962.89,-110.775,1350.654263621208,1350.6
55,2410,5730.22,1281.77,-107.603,1350.654443505833,1350.6
85,5860,6910.56,2346.4,-85.8135,1350.700143673144,1350.7
55,4174,6505.33,962.778,-107.538,1350.754263621362,1350.7
55,2410,5730.19,1281.64,-107.505,1350.754443505874,1350.7
85,5860,6910.74,2346.44,-85.8164,1350.800143673297,1350.8
55,4174,6505.38,962.65,-88.581,1350.854302621539,1350.8
