RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
85,3982,6909.6,2346.18,-85.7982,2015.400141760119,2015.4
85,3982,6909.74,2346.21,-85.8004,2015.554654619654,2015.5
85,3982,6909.84,2346.24,-85.802,2015.600141740078,2015.6
85,3982,6909.9,2346.25,-85.803,2015.70014106048,2015.7
85,3982,6909.92,2346.25,-85.8034,2015.800150900068,2015.8
85,4366,7085.58,2153.21,-119.601,2040.354312133306,2040.3
85,4366,7085.91,2151.24,-119.788,2040.454325130043,2040.4
85,4366,7088.9,2133.02,-112.038,2040.654312101802,2040.6
85,4366,7089.21,2131.06,-110.444,2040.754299098979,2040.7
85,4366,7089.53,2129.11,-109.109,2040.854325096204,2040.8
85,4366,7090.16,2125.2,-125.351,2041.054312090792,2041.0
85,4366,7090.47,2123.23,-107.225,2041.15428608815,2041.1
85,4366,7090.79,2121.28,-107.17,2041.254299085562,2041.2
85,4366,7091.1,2119.32,-108.051,2041.354325083026,2041.3
85,4366,7091.42,2117.36,-107.993,2041.454325080529,2041.4
85,4366,7091.74,2115.4,-126.877,2041.554299078089,2041.5
85,4366,7092.05,2113.45,-128.608,2041.654325075698,2041.6
85,4366,7092.37,2111.49,-110.637,2041.754299073361,2041.7
85,4366,7092.68,2109.54,-109.899,2041.854299071069,2041.8
85,4366,7093.0,2107.57,-108.667,2041.954286068824,2041.9
85,4366,7093.31,2105.62,-129.291,2042.05428606664,2042.0
85,4366,7098.36,2074.31,-117.819,2043.654312039,2043.6
85,4366,7098.67,2072.36,-116.554,2043.754325037755,2043.7
85,4366,7098.99,2070.4,-115.326,2043.854286036564,2043.8
85,4366,7099.31,2068.44,-114.15,2043.954286035434,2043.9
85,3982,6909.94,2346.26,-85.8037,2070.100140467512,2070.1
85,3982,6909.99,2346.27,-85.8044,2070.200140467628,2070.2
85,3982,6910.06,2346.28,-85.8055,2070.300140467841,2070.3
85,3982,6910.15,2346.31,-85.807,2070.400140468151,2070.4
85,3982,6910.26,2346.33,-85.8088,2070.500140468557,2070.5
85,3982,6910.4,2346.36,-85.811,2070.600140469062,2070.6
85,3982,6910.56,2346.4,-85.8135,2070.700140469661,2070.7
85,3982,6910.74,2346.44,-85.8164,2070.800140470358,2070.8
85,5584,6908.02,2345.83,-105.86,2072.754419455357,2072.7
85,5584,6908.44,2345.93,-85.7799,2072.854406456568,2072.8
85,5584,6908.89,2346.03,-85.787,2072.954445457817,2072.9
85,5584,6909.36,2346.13,-85.7944,2073.054432459102,2073.0
85,5584,6909.84,2346.24,-85.8021,2073.154432460424,2073.1
85,5584,6910.34,2346.35,-85.8101,2073.254458461766,2073.2
85,2644,6908.22,2345.88,-103.783,2074.70014065725,2074.7
85,2644,6908.84,2346.01,-85.7862,2074.800140658685,2074.8
85,2644,6909.49,2346.16,-85.7965,2074.900140660132,2074.9
85,2644,6910.16,2346.31,-85.8071,2075.000140661606,2075.0
85,1786,6908.42,2345.92,-85.7794,2076.554211398795,2076.5
85,1786,6909.02,2346.05,-85.7891,2076.654211399293,2076.6
85,1786,6909.65,2346.19,-85.7991,2076.754211399814,2076.7
85,1786,6910.31,2346.34,-85.8095,2076.854224400357,2076.8
