RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
55,844,5730.47,1282.82,-108.372,1027.254684993559,1027.2
55,844,5730.42,1282.62,-108.226,1027.300145993195,1027.3
55,844,5730.38,1282.46,-108.107,1027.400140222373,1027.4
55,844,5730.35,1282.33,-108.015,1027.554475621144,1027.5
55,844,5730.33,1282.24,-107.949,1027.600140227893,1027.6
55,844,5730.32,1282.19,-107.91,1027.754462620882,1027.7
55,844,5730.31,1282.17,-107.897,1027.80014788165,1027.8
50,5644,5020.93,1062.06,-114.692,1035.800147802206,1035.8
50,5644,5018.76,1062.17,-114.803,1035.954348800692,1035.9
50,5644,5016.6,1062.29,-114.597,1036.000147799365,1036.0
85,3442,6891.82,1973.86,-69.679,1036.100138091132,1036.1
50,5644,5014.43,1062.4,-114.4,1036.154361798234,1036.1
85,5062,6883.45,1955.55,-71.2321,1036.154602836815,1036.1
50,5644,5007.94,1062.74,-119.38,1036.400147796027,1036.4
85,3442,6891.76,1972.91,-69.7158,1036.900138092754,1036.9
85,5062,6882.04,1955.34,-71.489,1036.954483090475,1036.9
85,3442,6891.75,1972.58,-69.7297,1037.100138093333,1037.1
85,5062,6881.58,1955.26,-71.5866,1037.154470091059,1037.1
85,3442,6891.6,1969.95,-69.8545,1038.200138098061,1038.2
85,5062,6878.28,1954.75,-71.7355,1038.254496095523,1038.2
85,3442,6891.57,1969.34,-69.8874,1038.400138099213,1038.4
85,5062,6877.55,1954.64,-71.7495,1038.454470096565,1038.4
85,3442,6878.91,1951.61,-72.0335,1039.900138146784,1039.9
85,3442,6878.46,1951.54,-72.0494,1040.000138147406,1040.0
85,3442,6878.0,1951.47,-72.0661,1040.10013814805,1040.1
85,3442,6877.53,1951.4,-72.0833,1040.200138148716,1040.2
85,3442,6877.05,1951.32,-72.0962,1040.300138149405,1040.3
85,3442,6876.57,1951.25,-72.1057,1040.400138150117,1040.4
85,3442,6876.07,1951.17,-72.1158,1040.500138150859,1040.5
85,3442,6875.55,1951.09,-72.1291,1040.600138151626,1040.6
105,5770,5959.67,2807.06,-129.692,1040.6545074208,1040.6
85,3442,6875.04,1951.01,-72.1433,1040.700138152415,1040.7
105,5770,5958.75,2806.71,-129.352,1040.754645594908,1040.7
85,3442,6874.51,1950.93,-72.1582,1040.800138153226,1040.8
105,5770,5957.8,2806.35,-111.01,1040.8001455967,1040.8
85,3442,6873.97,1950.84,-72.1739,1040.900138154066,1040.9
105,5770,5956.84,2805.98,-110.693,1040.954475660469,1040.9
85,3442,6873.42,1950.76,-72.1903,1041.000138154929,1041.0
105,5770,5955.87,2805.61,-110.374,1041.054475662787,1041.0
85,3442,6872.87,1950.67,-72.2074,1041.100138155819,1041.1
105,5770,5954.88,2805.23,-110.055,1041.1001446647,1041.1
