RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
105,5440,5423.68,3096.19,-126.392,456.854240268442,456.8
105,5440,5421.83,3098.29,-126.883,456.954253275665,456.9
105,3514,5952.2,2793.16,-111.265,457.000140141144,457.0
105,5440,5419.97,3100.4,-127.367,457.054240282922,457.0
105,3514,5954.31,2794.02,-111.911,457.100138770789,457.1
105,5440,5418.12,3102.5,-127.844,457.154253290185,457.1
105,5440,5416.27,3104.6,-128.319,457.254240297473,457.2
105,5440,5414.42,3106.7,-128.788,457.354253304784,457.3
105,5440,5412.57,3108.81,-129.25,457.454266312104,457.4
105,5440,5410.72,3110.9,-129.704,457.554279319426,457.5
105,1828,5973.35,2866.07,-128.108,457.800148896722,457.8
105,1828,5972.83,2867.31,-127.574,457.900147519674,457.9
105,1828,5972.3,2868.56,-127.031,458.000145725759,458.0
105,1828,5971.22,2871.11,-107.931,458.200149031588,458.2
105,1828,5970.67,2872.41,-107.379,458.300145061096,458.3
105,1828,5970.11,2873.72,-106.816,458.400139713698,458.4
55,3976,5765.34,1265.79,-86.5365,458.45420719887,458.4
55,1642,5794.66,1261.33,-86.0802,458.454415224375,458.4
105,1828,5969.55,2875.06,-106.239,458.500139067663,458.5
55,3976,5766.22,1265.79,-86.5221,458.554207196965,458.5
55,1642,5795.54,1261.36,-86.0717,458.554402222641,458.5
55,3976,5767.1,1265.8,-86.5076,458.654207195062,458.6
55,1642,5796.42,1261.38,-86.0631,458.654441220911,458.6
105,1828,5968.4,2877.76,-105.045,458.700143841759,458.7
55,3976,5767.97,1265.8,-86.4931,458.754207193163,458.7
55,1642,5797.3,1261.4,-86.0547,458.754441219186,458.7
105,1828,5967.82,2879.14,-104.423,458.80014274298,458.8
55,3976,5768.85,1265.81,-86.4785,458.854220191261,458.8
55,1642,5798.18,1261.43,-86.0462,458.854415217459,458.8
55,3976,5786.03,1261.11,-85.9938,458.954220142735,458.9
55,1642,5799.07,1261.45,-86.0378,458.954454160331,458.9
105,1552,5434.52,3079.04,-110.227,459.00014466855,459.0
55,3976,5786.89,1261.13,-85.9827,459.054220140989,459.0
55,1642,5799.95,1261.47,-86.0293,459.054415158688,459.0
105,1828,5966.63,2881.94,-102.876,459.054613673425,459.0
55,3976,5787.75,1261.15,-85.9716,459.15422013925,459.1
55,1642,5800.83,1261.5,-86.021,459.15445415705,459.1
55,3976,5788.6,1261.17,-85.9606,459.254220137528,459.2
55,1642,5801.71,1261.52,-86.0127,459.254441155436,459.2
105,1828,5964.94,2886.3,-100.513,459.30014447731,459.3
55,3976,5789.46,1261.2,-86.1315,459.354233135813,459.3
55,1642,5802.59,1261.54,-86.0044,459.354467153829,459.3
105,1828,5964.36,2887.79,-99.6882,459.400139863941,459.4
55,3976,5790.31,1261.22,-86.123,459.454220134104,459.4
55,1642,5803.47,1261.57,-85.9961,459.45441515224,459.4
