RSU,CAR,X,Y,dBm,ReceiveTime,SentTime
55,1528,5870.73,1261.06,-85.2303,1294.000138917739,1294.0
55,2410,5730.31,1282.17,-107.896,1294.054456505522,1294.0
55,1528,5871.56,1261.05,-85.2198,1294.100138916482,1294.1
55,1528,5872.4,1261.04,-85.2093,1294.200138915234,1294.2
55,1528,5873.23,1261.03,-85.1987,1294.300138913995,1294.3
55,1528,5874.06,1261.01,-85.1883,1294.400138912759,1294.4
55,1528,5874.89,1261.0,-85.178,1294.500138911534,1294.5
55,1528,5875.72,1260.99,-85.1678,1294.600138910316,1294.6
55,1528,5876.55,1260.97,-85.1576,1294.700138909104,1294.7
55,1528,5877.38,1260.96,-85.1475,1294.800138907901,1294.8
55,1528,5878.22,1260.95,-85.1373,1294.900138906697,1294.9
55,1528,5879.05,1260.93,-85.1238,1295.000138905506,1295.0
110,5326,6579.48,2902.93,-85.1326,1295.054324765017,1295.0
55,1528,5879.88,1260.92,-85.1099,1295.100138904321,1295.1
110,5326,6581.22,2903.58,-85.084,1295.154324758879,1295.1
55,1528,5880.71,1260.91,-85.096,1295.200138903142,1295.2
110,5326,6582.96,2904.23,-85.0352,1295.254324752737,1295.2
55,1528,5881.54,1260.9,-85.0821,1295.300138901962,1295.3
110,5326,6584.7,2904.88,-84.9862,1295.354311746616,1295.3
55,1528,5882.38,1260.88,-85.0682,1295.400138900789,1295.4
110,5326,6586.45,2905.53,-84.9369,1295.454298740488,1295.4
55,1528,5896.12,1260.67,-84.8305,1295.500138882443,1295.5
110,5326,6588.18,2906.17,-84.8875,1295.554285734373,1295.5
55,1528,5897.11,1260.65,-84.8137,1295.600138881192,1295.6
110,5326,6589.93,2906.82,-84.8376,1295.654311728244,1295.6
55,1528,5898.11,1260.64,-84.7969,1295.700138879946,1295.7
110,5326,6591.66,2907.47,-84.7875,1295.75432472213,1295.7
55,1528,5899.1,1260.62,-84.7803,1295.800138878716,1295.8
110,5326,6593.41,2908.12,-84.7371,1295.854298715996,1295.8
55,1528,5900.09,1260.61,-84.764,1295.90013887749,1295.9
110,5326,6595.15,2908.76,-84.6863,1295.954311709869,1295.9
55,1528,5901.08,1260.59,-84.7476,1296.000138876282,1296.0
110,5326,6596.89,2909.41,-84.6354,1296.054324703757,1296.0
55,1528,5902.07,1260.57,-84.7311,1296.10013887508,1296.1
110,5326,6598.63,2910.06,-84.584,1296.15431169762,1296.1
55,1528,5903.06,1260.56,-84.7147,1296.200138873888,1296.2
110,5326,6600.38,2910.71,-84.5323,1296.254298691489,1296.2
55,1528,5904.06,1260.54,-84.6983,1296.300138872703,1296.3
110,5326,6602.12,2911.36,-84.4804,1296.354298685366,1296.3
55,1528,5905.05,1260.53,-84.6819,1296.400138871528,1296.4
110,5326,6603.86,2912.01,-84.4282,1296.454311679245,1296.4
55,1528,5906.04,1260.51,-84.6642,1296.500138870369,1296.5
110,5326,6605.6,2912.65,-84.3758,1296.554285673134,1296.5
55,1528,5907.03,1260.5,-84.6464,1296.600138869221,1296.6
55,1528,5908.02,1260.48,-84.6285,1296.700138868078,1296.7
55,1528,5909.01,1260.46,-84.6108,1296.800138866951,1296.8
55,1528,5910.0,1260.45,-84.5929,1296.900138865833,1296.9
55,1528,5910.99,1260.43,-84.5742,1297.000138864725,1297.0
55,1528,5911.98,1260.42,-84.5554,1297.100138863623,1297.1
55,1528,5912.97,1260.4,-84.5368,1297.200138862538,1297.2
55,1528,5913.96,1260.39,-84.5182,1297.300138861464,1297.3
55,1528,5914.95,1260.37,-84.4996,1297.400138860395,1297.4
55,1528,5915.94,1260.35,-84.4812,1297.500138859342,1297.5
55,1528,5926.31,1260.19,-84.2921,1297.600138848924,1297.6
55,1528,5927.11,1260.18,-84.2778,1297.700138848164,1297.7
50,3616,5021.71,1062.02,-114.637,1297.70014971611,1297.7
55,1528,5927.92,1260.16,-84.2635,1297.80013884741,1297.8
50,3616,5019.58,1062.13,-114.794,1297.854428714548,1297.8
55,1528,5928.72,1260.15,-84.2493,1297.900138846666,1297.9
50,3616,5017.44,1062.24,-114.677,1297.90014971317,1297.9
55,1528,5929.53,1260.14,-84.2353,1298.000138845927,1298.0
50,3616,5015.32,1062.35,-114.479,1298.054428711985,1298.0
55,1528,5930.33,1260.12,-84.2212,1298.1001388452,1298.1
55,1528,5931.14,1260.11,-84.2061,1298.200138844478,1298.2
55,1528,5931.94,1260.1,-84.1911,1298.300138843764,1298.3
55,1528,5932.74,1260.08,-84.1762,1298.400138843059,1298.4
55,1528,5933.55,1260.07,-84.1613,1298.500138842359,1298.5
55,1528,5934.35,1260.06,-84.1464,1298.600138841663,1298.6
55,1528,5935.16,1260.04,-84.1298,1298.700138840977,1298.7
55,1528,5935.96,1260.03,-84.1111,1298.800138840301,1298.8
55,1528,5936.77,1260.02,-84.0923,1298.900138839628,1298.9
55,1528,5937.57,1260.01,-84.0736,1299.000138838963,1299.0
55,1528,5938.38,1259.99,-84.0549,1299.100138838306,1299.1
55,1528,5953.58,1259.75,-83.7123,1299.200138827353,1299.2
55,1528,5954.34,1259.74,-83.6956,1299.300138826879,1299.3
55,1528,5955.1,1259.73,-83.679,1299.400138826414,1299.4
55,1528,5955.86,1259.71,-83.6624,1299.500138825954,1299.5
55,1528,5956.61,1259.7,-83.6449,1299.600138825505,1299.6
55,1528,5957.36,1259.69,-83.6286,1299.700138825062,1299.7
55,1528,5958.12,1259.68,-83.6123,1299.800138824624,1299.8
55,1528,5958.88,1259.67,-83.5972,1299.900138824193,1299.9
55,1528,5959.64,1259.66,-83.5826,1300.000138823769,1300.0
55,1528,5960.39,1259.64,-83.5682,1300.100138823354,1300.1
55,1528,5961.15,1259.63,-83.5537,1300.200138822943,1300.2
50,4456,5022.33,1061.99,-114.595,1300.200141990075,1300.2
55,1528,5961.9,1259.62,-83.5392,1300.30013882254,1300.3
50,4456,5020.4,1062.09,-114.731,1300.300149928192,1300.3
55,1528,5962.66,1259.61,-83.5249,1300.400138822144,1300.4
50,4456,5018.46,1062.19,-114.774,1300.40014198728,1300.4
55,1528,5963.42,1259.6,-83.5105,1300.500138821754,1300.5
50,4456,5016.54,1062.29,-114.591,1300.500149924645,1300.5
55,1528,5964.18,1259.59,-83.4963,1300.600138821372,1300.6
50,4456,5014.61,1062.39,-114.415,1300.600141985103,1300.6
55,1528,5964.94,1259.57,-83.4821,1300.700138820996,1300.7
55,1528,5965.69,1259.56,-83.468,1300.80013882063,1300.8
55,1528,5966.45,1259.55,-83.454,1300.90013882027,1300.9
55,1528,5967.2,1259.54,-83.44,1301.000138819917,1301.0
55,1528,5967.96,1259.53,-83.4261,1301.10013881957,1301.1
55,1528,5984.52,1259.26,-83.1776,1301.200138813718,1301.2
55,1528,5985.23,1259.24,-83.1701,1301.300138813544,1301.3
55,1528,5985.95,1259.23,-83.1627,1301.400138813375,1301.4
55,1528,5986.67,1259.22,-83.1546,1301.500138813214,1301.5
55,1528,5987.36,1259.21,-83.1475,1301.600138813063,1301.6
55,1528,5988.03,1259.2,-83.1406,1301.700138812923,1301.7
55,1528,5988.69,1259.19,-83.134,1301.800138812792,1301.8
55,1528,5989.32,1259.18,-83.1276,1301.900138812671,1301.9
55,1528,5989.93,1259.17,-83.1215,1302.000138812559,1302.0
55,1528,5990.52,1259.16,-83.1157,1302.100138812455,1302.1
55,1528,5991.09,1259.15,-83.1101,1302.200138812358,1302.2
55,1528,5991.63,1259.14,-83.1047,1302.30013881227,1302.3
55,1528,5992.16,1259.13,-101.115,1302.400138812188,1302.4
55,1528,5992.67,1259.12,-104.248,1302.500138812112,1302.5
55,1528,5993.15,1259.12,-104.57,1302.600138812043,1302.6
55,1528,5993.62,1259.11,-104.566,1302.70013881198,1302.7
55,1528,5994.06,1259.1,-104.561,1302.800138811922,1302.8
55,1528,5994.48,1259.1,-104.557,1302.900138811869,1302.9
55,1528,5994.88,1259.09,-125.714,1303.000138811821,1303.0
55,1528,5995.62,1259.08,-126.827,1303.200138811737,1303.2
55,1528,5995.96,1259.07,-126.824,1303.300138811701,1303.3
55,1528,5996.28,1259.07,-127.624,1303.400138811669,1303.4
55,1528,5996.58,1259.06,-127.621,1303.50013881164,1303.5
55,1528,5996.88,1259.06,-127.618,1303.600138811611,1303.6
55,1528,5997.21,1259.05,-127.615,1303.700138811582,1303.7
55,1528,5997.54,1259.05,-127.612,1303.800138811553,1303.8
55,1528,5997.88,1259.04,-127.609,1303.900138811525,1303.9
55,1528,5998.24,1259.04,-127.606,1304.000138811498,1304.0
55,1528,5998.52,1255.84,-128.05,1304.100138800993,1304.1
55,1528,5998.14,1255.85,-127.78,1304.20013880102,1304.2
55,1528,5997.76,1255.85,-127.267,1304.300138801049,1304.3
55,1528,5997.37,1255.86,-127.104,1304.400138801081,1304.4
55,1528,5996.97,1255.86,-127.524,1304.500138801116,1304.5
55,1528,5996.56,1255.87,-128.047,1304.600138801153,1304.6
55,1528,5996.14,1255.88,-127.094,1304.700138801194,1304.7
55,1528,5995.71,1255.88,-126.941,1304.800138801238,1304.8
55,1528,5994.83,1255.9,-104.661,1305.000138801336,1305.0
55,1528,5994.38,1255.9,-104.663,1305.10013880139,1305.1
55,1528,5993.92,1255.91,-104.664,1305.200138801447,1305.2
