node1,node2
181,176
181,3175
181,3777
181,3885
181,4820
182,3776
182,6989
182,7999
183,256
183,3909
184,3780
184,5897
185,3788
185,3859
185,5130
186,3779
186,3782
186,3842
186,7234
187,3286
187,3780
187,3783
187,7233
188,3782
188,3784
188,3868
188,8208
189,3783
189,3785
189,3836
189,3867
190,3784
190,3786
190,3835
190,8032
191,1861
191,3203
191,3785
191,3787
192,3786
192,3788
192,3850
192,6094
193,3781
193,3787
193,3849
193,3860
194,3790
194,5444
195,3789
195,3791
195,5137
196,1319
196,3790
196,3792
196,5353
196,5427
197,1450
197,2207
197,3791
197,3793
197,6528
198,2042
198,2208
198,3792
198,6306
198,6527
199,2024
199,2642
199,3563
199,7227
200,1309
200,3796
200,5710
201,3798
201,3801
201,5351
201,5445
202,3797
202,5444
203,1610
203,2049
203,3795
203,3799
203,5108
203,6308
204,2050
204,2205
204,3796
204,3800
204,6306
204,6526
205,1451
205,2206
205,3799
205,3801
205,6525
206,3797
206,3800
206,5352
206,5428
207,3807
207,3814
207,3822
208,1706
208,3813
208,3821
208,5853
209,3824
209,3834
209,3851
210,3823
210,3825
210,3833
210,5892
211,1099
211,1725
211,3824
211,3869
211,7232
212,3827
212,3859
212,5130
212,6260
213,1106
213,3826
213,3828
213,3858
214,3827
214,3829
214,3851
214,4884
215,3205
215,3828
215,3830
215,3850
215,6094
216,1861
216,3829
216,3831
216,3835
216,8034
217,3830
217,3832
217,3834
217,3869
218,3831
218,3868
218,7233
219,3871
219,5128
219,8026
219,8027
220,3197
220,3198
220,3861
220,3870
220,3872
221,3283
221,3860
221,3871
221,3873
222,3202
222,3849
222,3872
222,8205
223,176
223,179
223,5816
224,226
224,232
224,270
224,3876
224,7908
225,3875
225,3922
226,224
226,232
226,3878
226,3923
226,7908
227,271
227,3877
227,3879
227,7325
228,2720
228,3878
228,3880
228,7324
229,907
229,1522
229,2719
229,3879
229,5557
229,7492
230,1058
230,2665
230,3029
230,3882
230,4843
230,7260
231,1067
231,2658
231,3881
231,7254
232,224
232,226
232,278
232,3931
232,7908
233,2179
233,3770
233,3885
233,6481
233,7504
234,1045
234,2885
234,3771
234,3776
234,3884
235,1187
235,1655
235,3887
235,4951
236,1227
236,3886
236,3888
236,5798
237,261
237,3887
237,3889
237,5020
238,288
238,3888
238,3890
238,3913
238,3943
239,289
239,1255
239,3889
239,3891
239,3942
239,5049
240,1189
240,1256
240,3890
240,3892
240,5048
241,1487
241,3891
241,4980
241,5503
242,6868
243,1440
243,5398
244,1516
244,3108
244,3896
244,5558
245,1669
245,3895
245,5817
245,7897
246,1671
246,3898
246,3933
246,4820
246,5817
247,1045
247,2179
247,3897
247,3899
247,6483
248,2180
248,3898
248,6482
248,7203
249,2611
249,3902
250,160
250,2900
250,3901
250,7145
250,7529
251,831
251,1627
251,5542
251,5728
252,1020
252,1671
252,5819
253,306
253,3906
253,3962
253,7961
254,177
254,3138
254,3773
254,3905
255,103
255,2958
255,3663
255,3908
255,7620
256,104
256,183
256,3662
256,3907
256,3909
257,266
257,304
257,3778
257,3908
257,3919
258,274
258,3911
259,3910
259,3926
260,296
260,1185
260,3913
260,3945
260,7262
261,237
261,2666
261,3889
261,3912
261,4976
262,1821
262,2941
262,3915
262,6060
262,7598
263,285
263,2942
263,3914
263,3916
263,3940
263,7597
264,286
264,1827
264,2200
264,3915
264,3939
264,6069
265,3918
265,3959
266,257
266,304
266,3917
266,3919
266,3958
267,273
267,3909
267,3918
267,3920
267,3961
268,2959
268,3919
268,3925
268,7623
269,148
269,272
269,3111
269,3741
269,3922
270,224
270,3876
270,3921
270,3924
270,7900
271,227
271,2718
271,3877
271,3924
272,269
272,3111
272,3922
272,3923
272,7323
273,267
273,2485
273,3920
273,6977
274,258
274,281
274,3911
274,3932
275,1820
275,3928
275,6059
275,7597
276,284
276,2941
276,3927
276,3929
276,3939
277,285
277,1828
277,2190
277,3928
277,3938
277,6070
278,232
278,1524
278,3931
278,5557
279,3883
279,3930
279,3932
279,7897
280,3108
280,3926
280,3931
280,3933
281,274
281,1670
281,3897
281,3932
281,5818
282,2870
282,3935
282,7201
282,7490
283,2648
283,2871
283,3934
283,7245
283,7489
284,276
284,1819
284,3929
284,3939
284,6058
285,263
285,277
285,3916
285,3928
285,3938
285,3940
286,264
286,3915
286,3939
286,3941
286,7599
287,2943
287,3940
287,5293
288,238
288,1626
288,3890
288,3943
288,5725
289,239
289,3889
289,3942
290,124
290,2702
290,3704
290,3945
291,3912
291,3944
291,3950
291,7306
292,3947
292,3956
292,6159
292,6160
293,1927
293,3946
293,3948
293,8153
294,3947
294,3949
294,4918
294,8152
295,1132
295,3948
295,6206
295,7307
296,260
296,3945
296,3951
296,4936
296,5047
297,1150
297,1254
297,3950
297,3952
297,4979
298,1188
298,1493
298,3951
298,3953
298,5509
299,1494
299,3952
299,3954
299,5060
299,5508
300,1264
300,3953
300,3955
300,5023
301,1230
301,1252
301,3954
301,3956
301,5046
302,1253
302,1928
302,3946
302,3955
302,5045
303,146
303,2653
303,3741
303,7255
303,7780
303,7906
304,257
304,266
304,2487
304,3919
304,6980
305,1519
305,3905
305,3963
305,5552
306,178
306,253
306,3774
306,3962
307,2103
307,3964
307,3965
307,6396
308,309
308,3966
309,308
309,3966
310,3969
310,3971
310,3973
311,3967
311,3970
312,170
312,1435
312,3753
312,3764
313,169
313,3765
313,3974
313,5388
313,5390
314,5768
315,316
315,318
315,3977
315,3977
316,315
316,3977
316,5770
317,3975
317,3975
317,3976
317,3978
318,315
318,3977
319,5769
320,817
320,3981
320,4510
320,4543
321,783
321,3980
321,7954
322,7757
323,983
323,3984
323,4750
324,982
324,984
324,3983
324,4749
324,4749
325,327
325,329
325,3986
325,3988
325,3988
326,328
326,2449
326,3985
326,3987
326,6929
327,325
327,3986
327,3988
328,326
328,3985
328,3985
328,3987
328,3989
329,325
329,2934
329,3988
329,7591
330,3991
330,5211
331,1365
331,2448
331,3990
331,6928
331,6931
332,383
332,4047
332,5224
333,2926
333,4042
333,7556
334,362
334,2618
334,3998
334,4025
334,7150
